session_key,driver_number,team_name
9127,27,Haas F1 Team
9127,31,Alpine
9127,44,Mercedes
9127,55,Ferrari
9127,63,Mercedes
9127,77,Alfa Romeo
9127,81,McLaren
9128,1,Red Bull Racing
9128,2,Williams
9128,3,AlphaTauri
9128,4,McLaren
9128,10,Alpine
9128,11,Red Bull Racing
9128,14,Aston Martin
9128,16,Ferrari
9128,18,Aston Martin
9128,20,Haas F1 Team
9128,22,AlphaTauri
9128,23,Williams
9128,24,Alfa Romeo
9128,27,Haas F1 Team
9128,31,Alpine
9128,44,Mercedes
9128,55,Ferrari
9128,63,Mercedes
9128,77,Alfa Romeo
9128,81,McLaren
9129,1,Red Bull Racing
9129,2,Williams
9129,3,AlphaTauri
9129,4,McLaren
9129,10,Alpine
9129,11,Red Bull Racing
9129,14,Aston Martin
9129,16,Ferrari
9129,18,Aston Martin
9129,20,Haas F1 Team
9129,22,AlphaTauri
9129,23,Williams
9129,24,Alfa Romeo
9129,27,Haas F1 Team
9129,31,Alpine
9129,44,Mercedes
9129,55,Ferrari
9129,63,Mercedes
9129,77,Alfa Romeo
9129,81,McLaren
9133,1,Red Bull Racing
9133,2,Williams
9133,3,AlphaTauri
9133,4,McLaren
9133,10,Alpine
9133,11,Red Bull Racing
9133,14,Aston Martin
9133,16,Ferrari
9133,18,Aston Martin
9133,20,Haas F1 Team
9133,22,AlphaTauri
9133,23,Williams
9133,24,Alfa Romeo
9133,27,Haas F1 Team
9133,31,Alpine
9133,44,Mercedes
9133,55,Ferrari
9133,63,Mercedes
9133,77,Alfa Romeo
9133,81,McLaren
9134,1,Red Bull Racing
9134,2,Williams
9134,3,AlphaTauri
9134,4,McLaren
9134,10,Alpine
9134,11,Red Bull Racing
9134,14,Aston Martin
9134,16,Ferrari
9134,18,Aston Martin
9134,20,Haas F1 Team
9134,22,AlphaTauri
9134,23,Williams
9134,24,Alfa Romeo
9134,27,Haas F1 Team
9134,31,Alpine
9134,44,Mercedes
9134,55,Ferrari
9134,63,Mercedes
9134,77,Alfa Romeo
