session_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap
7953,10,13,2023-03-05 15:24:17.790000+00:00,99.349,31.744,43.26,24.345,,248,False
7953,4,13,2023-03-05 15:24:23.212000+00:00,99.51,31.74,43.246,24.524,229,244,False
7953,21,13,2023-03-05 15:24:25.399000+00:00,98.924,31.468,43.189,24.267,232,241,False
7953,27,13,2023-03-05 15:24:26.040000+00:00,99.406,31.504,43.055,24.847,230,248,False
7953,1,14,2023-03-05 15:24:56.258000+00:00,101.295,31.427,42.876,26.992,229,241,False
7953,11,14,2023-03-05 15:25:07.148000+00:00,98.739,31.411,42.993,24.335,,245,False
7953,16,14,2023-03-05 15:25:08.539000+00:00,118.77,52.07,42.739,23.961,230,243,True
7953,55,14,2023-03-05 15:25:19.539000+00:00,119.006,52.026,42.788,24.192,228,242,True
7953,14,14,2023-03-05 15:25:22.804000+00:00,102.212,31.869,43.309,27.034,228,248,False
7953,18,14,2023-03-05 15:25:24.883000+00:00,100.002,31.565,43.743,24.694,,250,False
7953,63,14,2023-03-05 15:25:26.789000+00:00,121.269,54.862,42.554,23.853,228,256,True
7953,44,14,2023-03-05 15:25:41.773000+00:00,98.308,30.783,43.351,24.174,232,226,False
7953,20,14,2023-03-05 15:25:45.757000+00:00,101.739,32.409,44.478,24.852,227,246,False
7953,77,14,2023-03-05 15:25:46.101000+00:00,98.098,31.122,42.799,24.177,226,244,False
7953,23,14,2023-03-05 15:25:52.663000+00:00,98.472,31.104,43.144,24.224,230,248,False
7953,31,14,2023-03-05 15:25:53.413000+00:00,98.649,31.163,43.16,24.326,225,250,False
7953,22,14,2023-03-05 15:25:54.694000+00:00,98.742,31.227,43.111,24.404,226,257,False
7953,10,14,2023-03-05 15:25:57.226000+00:00,98.859,31.518,43.043,24.298,,246,False
7953,2,14,2023-03-05 15:25:58.335000+00:00,98.413,31.156,42.959,24.298,,245,False
7953,81,14,2023-03-05 15:26:01.538000+00:00,,,,,,,False
