session_key,driver_number,position,date
9181,22,14,2023-10-29 22:06:11.754000+00:00
9181,27,14,2023-10-29 22:06:27.613000+00:00
9181,22,13,2023-10-29 22:06:27.613000+00:00
9181,11,19,2023-10-29 22:07:08.363000+00:00
9181,77,14,2023-10-29 22:07:08.363000+00:00
9181,24,15,2023-10-29 22:07:08.363000+00:00
9181,27,13,2023-10-29 22:07:08.363000+00:00
9181,14,17,2023-10-29 22:07:08.363000+00:00
9181,20,18,2023-10-29 22:07:08.363000+00:00
9181,22,12,2023-10-29 22:07:08.363000+00:00
9181,2,20,2023-10-29 22:07:08.363000+00:00
9181,18,16,2023-10-29 22:07:08.363000+00:00
9181,11,20,2023-10-29 22:07:08.378000+00:00
9181,77,15,2023-10-29 22:07:08.378000+00:00
9181,24,16,2023-10-29 22:07:08.378000+00:00
9181,27,14,2023-10-29 22:07:08.378000+00:00
9181,14,18,2023-10-29 22:07:08.378000+00:00
9181,20,19,2023-10-29 22:07:08.378000+00:00
9181,2,13,2023-10-29 22:07:08.378000+00:00
9181,18,17,2023-10-29 22:07:08.378000+00:00
9181,27,13,2023-10-29 22:07:09.691000+00:00
9181,2,14,2023-10-29 22:07:09.691000+00:00
9181,77,14,2023-10-29 22:07:10.019000+00:00
9181,2,15,2023-10-29 22:07:10.019000+00:00
9181,24,15,2023-10-29 22:07:11.097000+00:00
9181,2,16,2023-10-29 22:07:11.097000+00:00
9204,4,1,2023-11-04 17:36:11.146000+00:00
9204,1,2,2023-11-04 17:36:11.146000+00:00
9204,11,3,2023-11-04 17:36:11.146000+00:00
9204,63,4,2023-11-04 17:36:11.146000+00:00
9204,44,5,2023-11-04 17:36:11.146000+00:00
9204,22,6,2023-11-04 17:36:11.146000+00:00
9204,16,7,2023-11-04 17:36:11.146000+00:00
9204,3,8,2023-11-04 17:36:11.146000+00:00
9204,55,9,2023-11-04 17:36:11.146000+00:00
9204,81,10,2023-11-04 17:36:11.146000+00:00
9204,20,11,2023-11-04 17:36:11.146000+00:00
9204,27,12,2023-11-04 17:36:11.146000+00:00
9204,10,13,2023-11-04 17:36:11.146000+00:00
9204,77,14,2023-11-04 17:36:11.146000+00:00
9204,14,15,2023-11-04 17:36:11.146000+00:00
9204,31,16,2023-11-04 17:36:11.146000+00:00
9204,18,17,2023-11-04 17:36:11.146000+00:00
9204,24,18,2023-11-04 17:36:11.146000+00:00
9204,23,19,2023-11-04 17:36:11.146000+00:00
9204,2,20,2023-11-04 17:36:11.146000+00:00
9204,4,2,2023-11-04 18:33:28.982000+00:00
9204,1,1,2023-11-04 18:33:28.982000+00:00
9204,11,4,2023-11-04 18:33:29.451000+00:00
9204,63,3,2023-11-04 18:33:29.451000+00:00
9204,22,7,2023-11-04 18:33:30.217000+00:00
9204,16,6,2023-11-04 18:33:30.217000+00:00
9204,81,8,2023-11-04 18:33:30.357000+00:00
9204,55,10,2023-11-04 18:33:30.357000+00:00
9204,3,9,2023-11-04 18:33:30.373000+00:00
9204,3,10,2023-11-04 18:33:30.748000+00:00
9204,55,9,2023-11-04 18:33:30.748000+00:00
9204,20,12,2023-11-04 18:33:31.029000+00:00
9204,27,13,2023-11-04 18:33:31.029000+00:00
9204,10,11,2023-11-04 18:33:31.029000+00:00
9204,77,15,2023-11-04 18:33:31.420000+00:00
9204,14,14,2023-11-04 18:33:31.420000+00:00
9204,20,13,2023-11-04 18:33:35.967000+00:00
9204,27,12,2023-11-04 18:33:35.967000+00:00
9204,77,14,2023-11-04 18:33:36.389000+00:00
9204,14,15,2023-11-04 18:33:36.389000+00:00
9204,14,16,2023-11-04 18:33:36.404000+00:00
9204,31,15,2023-11-04 18:33:36.404000+00:00
9204,22,8,2023-11-04 18:33:38.295000+00:00
9204,81,7,2023-11-04 18:33:38.295000+00:00
9204,20,12,2023-11-04 18:33:39.592000+00:00
9204,27,13,2023-11-04 18:33:39.592000+00:00
9204,27,14,2023-11-04 18:33:39.639000+00:00
9204,77,15,2023-11-04 18:33:39.639000+00:00
9204,14,13,2023-11-04 18:33:39.639000+00:00
9204,31,16,2023-11-04 18:33:39.639000+00:00
9204,77,16,2023-11-04 18:33:39.904000+00:00
9204,31,15,2023-11-04 18:33:39.904000+00:00
9204,77,17,2023-11-04 18:33:40.107000+00:00
9204,18,16,2023-11-04 18:33:40.107000+00:00
9204,24,19,2023-11-04 18:33:40.248000+00:00
9204,23,18,2023-11-04 18:33:40.248000+00:00
